Phone timestamp;RR-interval [ms]
2024-09-16T19:00:49.269;489
2024-09-16T19:00:49.758;489
2024-09-16T19:00:50.247;491
2024-09-16T19:00:50.738;489
2024-09-16T19:00:51.227;491
2024-09-16T19:00:51.718;489
2024-09-16T19:00:52.207;490
2024-09-16T19:00:52.697;488
2024-09-16T19:00:53.185;488
2024-09-16T19:00:53.673;485
2024-09-16T19:00:54.158;485
2024-09-16T19:00:54.643;480
2024-09-16T19:00:55.123;482
2024-09-16T19:00:55.605;481
2024-09-16T19:00:56.086;483
2024-09-16T19:00:56.569;484
2024-09-16T19:00:57.053;483
