Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-09-16T19:00:50.342;599620867555522176;807.14404;5209
2024-09-16T19:00:50.349;599620867563197824;814.8197;5176
2024-09-16T19:00:50.357;599620867570873472;822.49536;5157
2024-09-16T19:00:50.365;599620867578549248;830.17114;5147
2024-09-16T19:00:50.372;599620867586224896;837.8468;5117
2024-09-16T19:00:50.380;599620867593900672;845.5226;5088
2024-09-16T19:00:50.388;599620867601576320;853.1982;5065
2024-09-16T19:00:50.395;599620867609251968;860.87384;5013
2024-09-16T19:00:50.403;599620867616927744;868.5496;4952
2024-09-16T19:00:50.411;599620867624603392;876.2253;4909
2024-09-16T19:00:50.418;599620867632279040;883.90094;4839
2024-09-16T19:00:50.426;599620867639954816;891.5767;4742
2024-09-16T19:00:50.434;599620867647630464;899.2524;4653
2024-09-16T19:00:50.441;599620867655306240;906.9281;4572
2024-09-16T19:00:50.449;599620867662981888;914.60376;4506
2024-09-16T19:00:50.457;599620867670657536;922.2794;4445
2024-09-16T19:00:50.464;599620867678333312;929.9552;4375
2024-09-16T19:00:50.472;599620867686008960;937.63086;4320
2024-09-16T19:00:50.480;599620867693684608;945.3065;4278
2024-09-16T19:00:50.487;599620867701360384;952.9823;4240
2024-09-16T19:00:50.495;599620867709036032;960.6579;4210
2024-09-16T19:00:50.503;599620867716711680;968.33356;4174
2024-09-16T19:00:50.511;599620867724387456;976.00934;4129
2024-09-16T19:00:50.518;599620867732063104;983.685;4089
2024-09-16T19:00:50.526;599620867739738880;991.3608;4047
2024-09-16T19:00:50.534;599620867747414528;999.03644;4000
2024-09-16T19:00:50.541;599620867755090176;1006.71204;3953
2024-09-16T19:00:50.549;599620867762765952;1014.3878;3899
2024-09-16T19:00:50.557;599620867770441600;1022.0635;3851
2024-09-16T19:00:50.564;599620867778117248;1029.7391;3835
2024-09-16T19:00:50.572;599620867785793024;1037.4149;3840
2024-09-16T19:00:50.580;599620867793468672;1045.0906;3814
2024-09-16T19:00:50.587;599620867801144448;1052.7664;3753
2024-09-16T19:00:50.595;599620867808820096;1060.442;3687
2024-09-16T19:00:50.603;599620867816495744;1068.1177;3621
2024-09-16T19:00:50.610;599620867824171520;1075.7935;3564
2024-09-16T19:00:50.618;599620867831847168;1083.4691;3517
2024-09-16T19:00:50.626;599620867839522816;1091.1447;3477
2024-09-16T19:00:50.633;599620867847198592;1098.8204;3442
2024-09-16T19:00:50.641;599620867854874240;1106.4961;3397
2024-09-16T19:00:50.649;599620867862549970;1114.1719;3359
2024-09-16T19:00:50.656;599620867870225920;1121.8478;3333
2024-09-16T19:00:50.664;599620867877901824;1129.5237;3291
2024-09-16T19:00:50.672;599620867885577728;1137.1996;3220
2024-09-16T19:00:50.679;599620867893253632;1144.8755;3222
2024-09-16T19:00:50.687;599620867900929536;1152.5514;3512
2024-09-16T19:00:50.695;599620867908605440;1160.2273;4028
2024-09-16T19:00:50.702;599620867916281344;1167.9032;4075
2024-09-16T19:00:50.710;599620867923957248;1175.5791;3345
2024-09-16T19:00:50.718;599620867931633152;1183.255;2822
2024-09-16T19:00:50.725;599620867939309056;1190.9309;2959
2024-09-16T19:00:50.733;599620867946984960;1198.6068;2959
2024-09-16T19:00:50.741;599620867954660864;1206.2827;2751
2024-09-16T19:00:50.748;599620867962336768;1213.9586;2775
2024-09-16T19:00:50.756;599620867970012672;1221.6345;2810
2024-09-16T19:00:50.764;599620867977688576;1229.3104;2721
2024-09-16T19:00:50.771;599620867985364480;1236.9863;2695
2024-09-16T19:00:50.779;599620867993040384;1244.6622;2699
2024-09-16T19:00:50.787;599620868000716288;1252.3381;2671
2024-09-16T19:00:50.795;599620868008392192;1260.014;2650
2024-09-16T19:00:50.802;599620868016068096;1267.69;2643
2024-09-16T19:00:50.810;599620868023744000;1275.3658;2624
2024-09-16T19:00:50.818;599620868031419904;1283.0417;2605
2024-09-16T19:00:50.825;599620868039095808;1290.7177;2593
2024-09-16T19:00:50.833;599620868046771712;1298.3936;2589
2024-09-16T19:00:50.841;599620868054447616;1306.0695;2586
2024-09-16T19:00:50.848;599620868062123520;1313.7454;2589
2024-09-16T19:00:50.856;599620868069799424;1321.4213;2591
2024-09-16T19:00:50.864;599620868077475328;1329.0972;2593
2024-09-16T19:00:50.871;599620868085151232;1336.7731;2586
2024-09-16T19:00:50.879;599620868092827136;1344.449;2560
2024-09-16T19:00:50.887;599620868100503040;1352.1249;2525
2024-09-16T19:00:50.894;599620868108178944;1359.8008;2483
2024-09-16T19:00:50.902;599620868115854848;1367.4767;2438
2024-09-16T19:00:50.910;599620868123530752;1375.1526;2386
2024-09-16T19:00:50.917;599620868131206656;1382.8285;2322
2024-09-16T19:00:50.925;599620868138882560;1390.5044;2254
2024-09-16T19:00:50.933;599620868146558464;1398.1803;2198
2024-09-16T19:00:50.940;599620868154234368;1405.8562;2150
2024-09-16T19:00:50.948;599620868161910272;1413.5321;2108
2024-09-16T19:00:50.956;599620868169586176;1421.208;2075
2024-09-16T19:00:50.963;599620868177262080;1428.8839;2052
2024-09-16T19:00:50.971;599620868184937984;1436.5598;2030
2024-09-16T19:00:50.979;599620868192613888;1444.2357;2007
2024-09-16T19:00:50.986;599620868200289792;1451.9116;1988
2024-09-16T19:00:50.994;599620868207965696;1459.5875;1974
2024-09-16T19:00:51.002;599620868215641600;1467.2634;1955
2024-09-16T19:00:51.009;599620868223317504;1474.9393;1934
2024-09-16T19:00:51.017;599620868230993408;1482.6154;1905
