Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2024-09-17T06:41:25.716;82
2024-09-17T06:41:26.710;81
2024-09-17T06:41:27.726;81
2024-09-17T06:41:28.738;81;10,9
2024-09-17T06:41:29.845;80;9,0
2024-09-17T06:41:30.781;81;8,4
2024-09-17T06:41:31.731;81;10,8
2024-09-17T06:41:32.717;82;10,5
2024-09-17T06:41:33.798;83;11,5
2024-09-17T06:41:34.738;84;11,7
2024-09-17T06:41:35.787;86;11,3
2024-09-17T06:41:36.724;87;11,0
2024-09-17T06:41:37.755;88;10,6
2024-09-17T06:41:38.723;87;17,9
2024-09-17T06:41:39.714;85;24,0
2024-09-17T06:41:40.735;83;25,8
2024-09-17T06:41:41.728;80;25,7
2024-09-17T06:41:42.760;79;25,1
2024-09-17T06:41:43.720;78;24,6
2024-09-17T06:41:44.830;77;24,1
2024-09-17T06:41:45.721;76;23,6
2024-09-17T06:41:46.780;75;23,2
2024-09-17T06:41:47.726;73;22,7
2024-09-17T06:41:48.760;73;24,8
2024-09-17T06:41:49.779;74;25,7
2024-09-17T06:41:50.768;74;37,1
2024-09-17T06:41:51.758;74;37,1
2024-09-17T06:41:52.722;74;50,2
2024-09-17T06:41:53.710;74;50,1
2024-09-17T06:41:54.726;74;50,0
2024-09-17T06:41:55.764;74;50,1
2024-09-17T06:41:56.747;74;50,0
2024-09-17T06:41:57.716;75;50,2
2024-09-17T06:41:58.730;76;50,4
2024-09-17T06:41:59.719;77;50,4
2024-09-17T06:42:00.756;78;50,4
2024-09-17T06:42:01.740;78;49,0
2024-09-17T06:42:02.710;78;47,2
2024-09-17T06:42:03.718;78;46,7
2024-09-17T06:42:04.759;74;54,0
2024-09-17T06:42:05.749;74;54,0
2024-09-17T06:42:06.718;73;54,2
2024-09-17T06:42:07.756;73;54,4
2024-09-17T06:42:08.722;73;54,4
2024-09-17T06:42:09.754;73;55,3
2024-09-17T06:42:10.742;73;55,3
2024-09-17T06:42:11.728;73;55,2
2024-09-17T06:42:12.744;72;55,0
2024-09-17T06:42:13.756;72;54,7
2024-09-17T06:42:14.745;71;51,3
2024-09-17T06:42:15.714;70;51,3
2024-09-17T06:42:16.705;69;54,6
2024-09-17T06:42:17.763;69;43,1
2024-09-17T06:42:18.801;69;43,0
2024-09-17T06:42:19.742;69;43,3
2024-09-17T06:42:20.706;69;43,3
2024-09-17T06:42:21.748;69;43,5
2024-09-17T06:42:22.763;68;43,5
2024-09-17T06:42:23.748;67;45,2
2024-09-17T06:42:24.736;67;45,0
2024-09-17T06:42:25.704;67;46,0
2024-09-17T06:42:26.738;67;46,2
2024-09-17T06:42:27.752;68;46,5
2024-09-17T06:42:28.743;68;46,3
2024-09-17T06:42:29.711;68;37,0
2024-09-17T06:42:30.700;68;37,2
2024-09-17T06:42:31.759;68;37,5
2024-09-17T06:42:32.725;68;38,2
2024-09-17T06:42:33.734;68;37,9
2024-09-17T06:42:34.701;69;38,5
2024-09-17T06:42:35.743;68;37,5
2024-09-17T06:42:36.733;67;37,7
2024-09-17T06:42:37.738;67;37,7
2024-09-17T06:42:38.777;68;36,5
2024-09-17T06:42:39.746;68;36,3
2024-09-17T06:42:40.759;67;32,5
2024-09-17T06:42:41.750;67;32,6
2024-09-17T06:42:42.715;68;27,2
2024-09-17T06:42:43.704;67;27,7
2024-09-17T06:42:44.695;68;27,3
2024-09-17T06:42:45.753;68;27,3
2024-09-17T06:42:46.743;67;26,7
2024-09-17T06:42:47.712;68;26,6
2024-09-17T06:42:48.699;68;27,0
2024-09-17T06:42:49.736;69;23,8
2024-09-17T06:42:50.750;69;21,8
2024-09-17T06:42:51.781;70;21,7
2024-09-17T06:42:52.822;70;20,9
2024-09-17T06:42:53.695;70;21,4
2024-09-17T06:42:54.753;71;21,4
2024-09-17T06:42:55.743;72;21,8
2024-09-17T06:42:56.733;74;20,7
2024-09-17T06:42:57.698;74;20,6
2024-09-17T06:42:58.756;75;19,5
2024-09-17T06:42:59.751;76;18,9
2024-09-17T06:43:00.738;76;18,9
2024-09-17T06:43:01.726;77;19,0
2024-09-17T06:43:02.692;77;19,1
2024-09-17T06:43:03.729;78;16,5
2024-09-17T06:43:04.742;79;15,1
2024-09-17T06:43:05.726;79;13,9
2024-09-17T06:43:06.704;81;13,9
2024-09-17T06:43:07.734;81;14,2
2024-09-17T06:43:08.749;83;14,2
2024-09-17T06:43:09.736;84;13,3
2024-09-17T06:43:10.710;85;13,0
2024-09-17T06:43:11.695;86;13,0
2024-09-17T06:43:12.746;87;12,9
2024-09-17T06:43:13.836;87;11,2
2024-09-17T06:43:14.728;88;11,2
2024-09-17T06:43:15.718;88;11,4
2024-09-17T06:43:16.733;87;11,1
2024-09-17T06:43:17.749;84;19,2
2024-09-17T06:43:18.741;82;19,2
2024-09-17T06:43:19.730;81;19,2
2024-09-17T06:43:20.763;80;19,1
2024-09-17T06:43:21.733;79;19,0
2024-09-17T06:43:22.743;78;19,0
2024-09-17T06:43:23.779;77;19,0
2024-09-17T06:43:24.720;77;18,9
2024-09-17T06:43:25.735;76;18,9
2024-09-17T06:43:26.734;75;18,8
2024-09-17T06:43:27.738;75;18,8
2024-09-17T06:43:28.773;74;19,0
2024-09-17T06:43:29.763;74;18,9
2024-09-17T06:43:30.730;74;18,7
2024-09-17T06:43:31.743;74;19,4
2024-09-17T06:43:32.738;73;20,2
2024-09-17T06:43:33.724;72;20,1
2024-09-17T06:43:34.735;72;20,2
2024-09-17T06:43:35.725;72;24,2
2024-09-17T06:43:36.784;72;24,2
2024-09-17T06:43:37.732;72;24,2
2024-09-17T06:43:38.716;72;24,2
2024-09-17T06:43:39.728;73;24,2
2024-09-17T06:43:40.726;73;23,6
2024-09-17T06:43:41.733;72;20,6
2024-09-17T06:43:42.728;72;16,3
2024-09-17T06:43:43.812;72;16,3
2024-09-17T06:43:44.723;73;19,4
2024-09-17T06:43:45.720;74;20,0
2024-09-17T06:43:46.702;75;20,2
2024-09-17T06:43:47.702;76;20,2
2024-09-17T06:43:48.729;77;20,2
2024-09-17T06:43:49.731;77;20,1
2024-09-17T06:43:50.735;76;25,1
2024-09-17T06:43:51.698;75;27,0
2024-09-17T06:43:52.741;75;26,8
2024-09-17T06:43:53.726;74;26,8
2024-09-17T06:43:54.772;74;28,2
2024-09-17T06:43:55.729;74;27,6
2024-09-17T06:43:56.718;74;27,6
2024-09-17T06:43:57.730;74;27,7
2024-09-17T06:43:58.743;74;27,9
2024-09-17T06:43:59.816;74;24,4
2024-09-17T06:44:00.784;74;25,6
2024-09-17T06:44:01.762;74;25,6
2024-09-17T06:44:02.727;73;26,1
2024-09-17T06:44:03.758;73;26,1
2024-09-17T06:44:04.836;73;26,8
2024-09-17T06:44:05.784;73;26,7
2024-09-17T06:44:06.753;73;26,7
2024-09-17T06:44:07.720;73;26,7
2024-09-17T06:44:08.837;73;24,5
2024-09-17T06:44:09.738;73;24,2
2024-09-17T06:44:10.811;72;24,2
2024-09-17T06:44:11.728;72;24,1
2024-09-17T06:44:12.728;72;24,2
2024-09-17T06:44:13.739;72;24,2
2024-09-17T06:44:14.772;72;19,1
2024-09-17T06:44:15.738;72;16,6
2024-09-17T06:44:16.725;72;16,8
2024-09-17T06:44:17.737;72;17,0
2024-09-17T06:44:18.883;72;14,5
2024-09-17T06:44:19.744;72;14,5
2024-09-17T06:44:20.728;73;14,6
2024-09-17T06:44:21.773;73;14,4
2024-09-17T06:44:22.838;73;14,1
2024-09-17T06:44:23.786;73;14,1
2024-09-17T06:44:24.757;73;12,1
2024-09-17T06:44:25.766;73;12,3
2024-09-17T06:44:26.717;73;11,2
2024-09-17T06:44:27.778;73;10,1
2024-09-17T06:44:28.762;73;9,3
2024-09-17T06:44:29.761;74;10,5
2024-09-17T06:44:30.727;75;10,5
2024-09-17T06:44:31.837;75;10,5
2024-09-17T06:44:32.730;75;10,3
2024-09-17T06:44:33.805;75;10,0
2024-09-17T06:44:34.752;75;11,5
2024-09-17T06:44:35.720;75;11,6
2024-09-17T06:44:36.776;74;11,5
2024-09-17T06:44:37.764;74;11,5
2024-09-17T06:44:38.757;74;11,6
2024-09-17T06:44:39.727;75;11,6
2024-09-17T06:44:40.733;75;11,3
2024-09-17T06:44:41.727;75;11,5
2024-09-17T06:44:42.759;75;10,8
2024-09-17T06:44:43.747;74;11,1
2024-09-17T06:44:44.715;74;12,1
2024-09-17T06:44:45.773;73;12,0
2024-09-17T06:44:46.761;72;12,2
2024-09-17T06:44:47.759;72;12,2
2024-09-17T06:44:48.743;72;12,1
2024-09-17T06:44:49.715;73;12,1
2024-09-17T06:44:50.780;73;12,1
2024-09-17T06:44:51.810;73;12,1
2024-09-17T06:44:52.747;73;12,4
2024-09-17T06:44:53.714;72;12,6
2024-09-17T06:44:54.700;71;12,6
2024-09-17T06:44:55.764;72;15,1
2024-09-17T06:44:56.761;72;15,1
2024-09-17T06:44:57.751;73;14,4
2024-09-17T06:44:58.713;74;15,2
2024-09-17T06:44:59.760;75;15,5
2024-09-17T06:45:00.760;76;15,5
2024-09-17T06:45:01.717;77;17,1
2024-09-17T06:45:02.716;79;16,7
2024-09-17T06:45:03.707;80;16,7
2024-09-17T06:45:04.761;80;16,4
2024-09-17T06:45:05.721;81;16,4
