Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-09-16T19:00:22.088;599620839253491200;0.0;2787
2024-09-16T19:00:22.095;599620839261183488;7.692288;3230
2024-09-16T19:00:22.103;599620839268875776;15.384576;3630
2024-09-16T19:00:22.111;599620839276568064;23.076864;3880
2024-09-16T19:00:22.118;599620839284260480;30.76928;4153
2024-09-16T19:00:22.126;599620839291952768;38.461567;4431
2024-09-16T19:00:22.134;599620839299645056;46.153854;4648
2024-09-16T19:00:22.141;599620839307337344;53.846146;4853
2024-09-16T19:00:22.149;599620839315029632;61.538433;5070
2024-09-16T19:00:22.157;599620839322721920;69.23072;5282
2024-09-16T19:00:22.164;599620839330414336;76.923134;5503
2024-09-16T19:00:22.172;599620839338106624;84.615425;5689
2024-09-16T19:00:22.180;599620839345798912;92.30771;5793
2024-09-16T19:00:22.188;599620839353491200;100.0;5887
2024-09-16T19:00:22.195;599620839361183488;107.69229;6012
2024-09-16T19:00:22.203;599620839368875776;115.384575;6120
2024-09-16T19:00:22.211;599620839376568064;123.076866;6210
2024-09-16T19:00:22.218;599620839384260480;130.76929;6321
2024-09-16T19:00:22.226;599620839391952768;138.46156;6431
2024-09-16T19:00:22.234;599620839399645056;146.15385;6523
2024-09-16T19:00:22.241;599620839407337344;153.84615;6613
2024-09-16T19:00:22.249;599620839415029632;161.53844;6697
2024-09-16T19:00:22.257;599620839422721920;169.23071;6754
2024-09-16T19:00:22.264;599620839430414336;176.92314;6792
2024-09-16T19:00:22.272;599620839438106624;184.61542;6905
2024-09-16T19:00:22.280;599620839445798912;192.30771;7291
2024-09-16T19:00:22.288;599620839453491200;200.0;7866
2024-09-16T19:00:22.295;599620839461183488;207.69229;7970
2024-09-16T19:00:22.303;599620839468875776;215.38458;7411
2024-09-16T19:00:22.311;599620839476568064;223.07686;7086
2024-09-16T19:00:22.318;599620839484260480;230.76929;7204
2024-09-16T19:00:22.326;599620839491952768;238.46156;7157
2024-09-16T19:00:22.334;599620839499645056;246.15385;7079
2024-09-16T19:00:22.341;599620839507337344;253.84615;7188
2024-09-16T19:00:22.349;599620839515029632;261.53842;7223
2024-09-16T19:00:22.357;599620839522721920;269.2307;7202
2024-09-16T19:00:22.364;599620839530414336;276.92313;7249
2024-09-16T19:00:22.372;599620839538106624;284.61542;7294
2024-09-16T19:00:22.380;599620839545798912;292.3077;7298
2024-09-16T19:00:22.388;599620839553491200;300.0;7312
2024-09-16T19:00:22.395;599620839561183488;307.6923;7334
2024-09-16T19:00:22.403;599620839568875776;315.38458;7343
2024-09-16T19:00:22.411;599620839576568064;323.07687;7362
2024-09-16T19:00:22.418;599620839584260480;330.7693;7390
2024-09-16T19:00:22.426;599620839591952768;338.46158;7409
2024-09-16T19:00:22.434;599620839599645056;346.15387;7425
2024-09-16T19:00:22.441;599620839607337344;353.84613;7444
2024-09-16T19:00:22.449;599620839615029632;361.53842;7458
2024-09-16T19:00:22.457;599620839622721920;369.2307;7468
2024-09-16T19:00:22.464;599620839630414336;376.92313;7470
2024-09-16T19:00:22.472;599620839638106624;384.61542;7451
2024-09-16T19:00:22.480;599620839645798912;392.3077;7416
2024-09-16T19:00:22.488;599620839653491200;400.0;7381
2024-09-16T19:00:22.495;599620839661183488;407.6923;7341
2024-09-16T19:00:22.503;599620839668875776;415.38458;7286
2024-09-16T19:00:22.511;599620839676568064;423.07687;7232
2024-09-16T19:00:22.518;599620839684260480;430.7693;7176
2024-09-16T19:00:22.526;599620839691952768;438.46158;7112
2024-09-16T19:00:22.534;599620839699645056;446.15387;7056
2024-09-16T19:00:22.541;599620839707337344;453.84613;7016
2024-09-16T19:00:22.549;599620839715029632;461.53842;6985
2024-09-16T19:00:22.557;599620839722721920;469.2307;6952
2024-09-16T19:00:22.564;599620839730414336;476.92313;6917
2024-09-16T19:00:22.572;599620839738106624;484.61542;6888
2024-09-16T19:00:22.580;599620839745798912;492.3077;6858
2024-09-16T19:00:22.588;599620839753491200;500.0;6822
2024-09-16T19:00:22.595;599620839761183488;507.6923;6792
2024-09-16T19:00:22.603;599620839768875776;515.3846;6759
2024-09-16T19:00:22.611;599620839776568064;523.07684;6712
2024-09-16T19:00:22.618;599620839784260480;530.7693;6665
2024-09-16T19:00:22.626;599620839791952768;538.46155;6622
2024-09-16T19:00:22.634;599620839799645056;546.1539;6582
2024-09-16T19:00:22.641;599620839807337311;553.84607;6544
2024-09-16T19:00:22.649;599620839815013120;561.5219;6528
2024-09-16T19:00:22.657;599620839822688896;569.1977;6537
2024-09-16T19:00:22.664;599620839830364800;576.8736;6507
2024-09-16T19:00:22.672;599620839838040576;584.5494;6412
2024-09-16T19:00:22.680;599620839845716480;592.2253;6325
2024-09-16T19:00:22.687;599620839853392256;599.90106;6271
2024-09-16T19:00:22.695;599620839861068160;607.57697;6217
2024-09-16T19:00:22.703;599620839868743936;615.25275;6156
2024-09-16T19:00:22.710;599620839876419840;622.92865;6111
2024-09-16T19:00:22.718;599620839884095616;630.60443;6071
2024-09-16T19:00:22.726;599620839891771520;638.28033;6017
2024-09-16T19:00:22.733;599620839899447296;645.9561;5969
2024-09-16T19:00:22.741;599620839907123072;653.6319;5932
2024-09-16T19:00:22.749;599620839914798976;661.3078;5873
2024-09-16T19:00:22.756;599620839922474752;668.9836;5793
2024-09-16T19:00:22.764;599620839930150656;676.6595;5823
2024-09-16T19:00:22.772;599620839937826432;684.3352;6153
2024-09-16T19:00:22.780;599620839945502336;692.0111;6594
2024-09-16T19:00:22.787;599620839953178112;699.6869;6457
2024-09-16T19:00:22.795;599620839960854016;707.3628;5762
2024-09-16T19:00:22.803;599620839968529792;715.0386;5463
2024-09-16T19:00:22.810;599620839976205696;722.7145;5552
2024-09-16T19:00:22.818;599620839983881472;730.39026;5390
2024-09-16T19:00:22.826;599620839991557248;738.06604;5237
2024-09-16T19:00:22.833;599620839999233152;745.74194;5286
2024-09-16T19:00:22.841;599620840006908928;753.4177;5253
2024-09-16T19:00:22.849;599620840014584832;761.0936;5171
2024-09-16T19:00:22.856;599620840022260608;768.7694;5159
