Phone timestamp;RR-interval [ms]
2024-09-16T18:38:57.422;565
2024-09-16T18:38:57.987;552
2024-09-16T18:38:58.539;551
2024-09-16T18:38:59.090;560
2024-09-16T18:38:59.650;567
2024-09-16T18:39:00.217;574
2024-09-16T18:39:00.791;570
2024-09-16T18:39:01.361;585
2024-09-16T18:39:01.946;613
2024-09-16T18:39:02.559;640
2024-09-16T18:39:03.199;658
2024-09-16T18:39:03.857;656
2024-09-16T18:39:04.513;683
2024-09-16T18:39:05.196;704
2024-09-16T18:39:05.900;673
2024-09-16T18:39:06.573;654
2024-09-16T18:39:07.227;643
2024-09-16T18:39:07.870;621
2024-09-16T18:39:08.491;599
2024-09-16T18:39:09.090;594
2024-09-16T18:39:09.684;575
2024-09-16T18:39:10.259;553
2024-09-16T18:39:10.812;569
2024-09-16T18:39:11.381;582
2024-09-16T18:39:11.963;602
2024-09-16T18:39:12.565;604
2024-09-16T18:39:13.169;567
2024-09-16T18:39:13.736;590
2024-09-16T18:39:14.326;586
2024-09-16T18:39:14.912;581
2024-09-16T18:39:15.493;583
2024-09-16T18:39:16.076;578
2024-09-16T18:39:16.654;677
2024-09-16T18:39:17.331;617
2024-09-16T18:39:17.948;587
2024-09-16T18:39:18.535;566
2024-09-16T18:39:19.101;554
2024-09-16T18:39:19.655;544
2024-09-16T18:39:20.199;536
2024-09-16T18:39:20.735;525
2024-09-16T18:39:21.260;521
2024-09-16T18:39:21.781;520
2024-09-16T18:39:22.301;519
2024-09-16T18:39:22.820;514
2024-09-16T18:39:23.334;515
2024-09-16T18:39:23.849;513
2024-09-16T18:39:24.362;516
2024-09-16T18:39:24.878;510
2024-09-16T18:39:25.388;502
2024-09-16T18:39:25.890;508
2024-09-16T18:39:26.398;508
2024-09-16T18:39:26.906;510
2024-09-16T18:39:27.416;513
2024-09-16T18:39:27.929;516
2024-09-16T18:39:28.445;523
2024-09-16T18:39:28.968;526
2024-09-16T18:39:29.494;521
2024-09-16T18:39:30.015;522
2024-09-16T18:39:30.537;521
2024-09-16T18:39:31.058;528
2024-09-16T18:39:31.586;534
2024-09-16T18:39:32.120;536
2024-09-16T18:39:32.656;534
2024-09-16T18:39:33.190;533
2024-09-16T18:39:33.723;531
2024-09-16T18:39:34.254;530
2024-09-16T18:39:34.784;533
2024-09-16T18:39:35.317;527
2024-09-16T18:39:35.844;522
2024-09-16T18:39:36.366;521
2024-09-16T18:39:36.887;525
2024-09-16T18:39:37.412;526
2024-09-16T18:39:37.938;522
2024-09-16T18:39:38.460;521
2024-09-16T18:39:38.981;531
2024-09-16T18:39:39.512;523
2024-09-16T18:39:40.035;516
2024-09-16T18:39:40.551;511
2024-09-16T18:39:41.062;510
2024-09-16T18:39:41.572;510
2024-09-16T18:39:42.082;510
2024-09-16T18:39:42.592;515
2024-09-16T18:39:43.107;521
2024-09-16T18:39:43.628;521
2024-09-16T18:39:44.149;533
2024-09-16T18:39:44.682;554
2024-09-16T18:39:45.236;572
2024-09-16T18:39:45.808;580
2024-09-16T18:39:46.388;609
2024-09-16T18:39:46.997;608
2024-09-16T18:39:47.605;604
2024-09-16T18:39:48.209;640
2024-09-16T18:39:48.849;626
2024-09-16T18:39:49.475;599
2024-09-16T18:39:50.074;579
2024-09-16T18:39:50.653;571
2024-09-16T18:39:51.224;562
2024-09-16T18:39:51.786;551
2024-09-16T18:39:52.337;549
2024-09-16T18:39:52.886;558
2024-09-16T18:39:53.444;561
2024-09-16T18:39:54.005;562
2024-09-16T18:39:54.567;589
2024-09-16T18:39:55.156;640
2024-09-16T18:39:55.796;638
2024-09-16T18:39:56.434;619
2024-09-16T18:39:57.053;614
2024-09-16T18:39:57.667;619
2024-09-16T18:39:58.286;598
2024-09-16T18:39:58.884;582
2024-09-16T18:39:59.466;570
2024-09-16T18:40:00.036;565
2024-09-16T18:40:00.601;557
2024-09-16T18:40:01.158;556
2024-09-16T18:40:01.714;565
2024-09-16T18:40:02.279;583
2024-09-16T18:40:02.862;589
2024-09-16T18:40:03.451;589
2024-09-16T18:40:04.040;605
2024-09-16T18:40:04.645;626
2024-09-16T18:40:05.271;608
2024-09-16T18:40:05.879;592
2024-09-16T18:40:06.471;587
2024-09-16T18:40:07.058;574
2024-09-16T18:40:07.632;562
2024-09-16T18:40:08.194;556
2024-09-16T18:40:08.750;551
2024-09-16T18:40:09.301;540
2024-09-16T18:40:09.841;537
2024-09-16T18:40:10.378;542
2024-09-16T18:40:10.920;543
2024-09-16T18:40:11.463;546
2024-09-16T18:40:12.009;544
2024-09-16T18:40:12.553;555
2024-09-16T18:40:13.108;555
2024-09-16T18:40:13.663;554
2024-09-16T18:40:14.217;563
2024-09-16T18:40:14.780;586
2024-09-16T18:40:15.366;617
2024-09-16T18:40:15.983;606
2024-09-16T18:40:16.589;605
2024-09-16T18:40:17.194;597
2024-09-16T18:40:17.791;578
2024-09-16T18:40:18.369;572
2024-09-16T18:40:18.941;568
2024-09-16T18:40:19.509;567
2024-09-16T18:40:20.076;559
2024-09-16T18:40:20.635;558
2024-09-16T18:40:21.193;554
2024-09-16T18:40:21.747;538
2024-09-16T18:40:22.285;531
2024-09-16T18:40:22.816;531
2024-09-16T18:40:23.347;533
