Phone timestamp;sensor timestamp [ns];timestamp [ms];ecg [uV]
2024-09-16T12:17:22.570;599619607168277760;0.0;355
2024-09-16T12:17:22.577;599619607175970048;7.692288;985
2024-09-16T12:17:22.585;599619607183662336;15.384576;1739
2024-09-16T12:17:22.593;599619607191354624;23.076864;2158
2024-09-16T12:17:22.600;599619607199047040;30.76928;2457
2024-09-16T12:17:22.608;599619607206739328;38.461567;2856
2024-09-16T12:17:22.616;599619607214431616;46.153854;3185
2024-09-16T12:17:22.623;599619607222123904;53.846146;3428
2024-09-16T12:17:22.631;599619607229816192;61.538433;3683
2024-09-16T12:17:22.639;599619607237508480;69.23072;3919
2024-09-16T12:17:22.646;599619607245200896;76.923134;4109
2024-09-16T12:17:22.654;599619607252893184;84.615425;4292
2024-09-16T12:17:22.662;599619607260585472;92.30771;4474
2024-09-16T12:17:22.670;599619607268277760;100.0;4645
2024-09-16T12:17:22.677;599619607275970048;107.69229;4810
2024-09-16T12:17:22.685;599619607283662336;115.384575;4968
2024-09-16T12:17:22.693;599619607291354624;123.076866;5117
2024-09-16T12:17:22.700;599619607299047040;130.76929;5268
2024-09-16T12:17:22.708;599619607306739328;138.46156;5409
2024-09-16T12:17:22.716;599619607314431616;146.15385;5540
2024-09-16T12:17:22.723;599619607322123904;153.84615;5679
2024-09-16T12:17:22.731;599619607329816192;161.53844;5803
2024-09-16T12:17:22.739;599619607337508480;169.23071;5905
2024-09-16T12:17:22.746;599619607345200896;176.92314;6015
2024-09-16T12:17:22.754;599619607352893184;184.61542;6124
2024-09-16T12:17:22.762;599619607360585472;192.30771;6217
2024-09-16T12:17:22.770;599619607368277760;200.0;6304
2024-09-16T12:17:22.777;599619607375970048;207.69229;6389
2024-09-16T12:17:22.785;599619607383662336;215.38458;6465
2024-09-16T12:17:22.793;599619607391354624;223.07686;6540
2024-09-16T12:17:22.800;599619607399047040;230.76929;6611
2024-09-16T12:17:22.808;599619607406739328;238.46156;6672
2024-09-16T12:17:22.816;599619607414431616;246.15385;6742
2024-09-16T12:17:22.823;599619607422123904;253.84615;6796
2024-09-16T12:17:22.831;599619607429816192;261.53842;6827
2024-09-16T12:17:22.839;599619607437508480;269.2307;6881
2024-09-16T12:17:22.846;599619607445200896;276.92313;6937
2024-09-16T12:17:22.854;599619607452893184;284.61542;6966
2024-09-16T12:17:22.862;599619607460585472;292.3077;6995
2024-09-16T12:17:22.870;599619607468277760;300.0;7032
2024-09-16T12:17:22.877;599619607475970048;307.6923;7056
2024-09-16T12:17:22.885;599619607483662336;315.38458;7080
2024-09-16T12:17:22.893;599619607491354624;323.07687;7112
2024-09-16T12:17:22.900;599619607499047040;330.7693;7136
2024-09-16T12:17:22.908;599619607506739328;338.46158;7153
2024-09-16T12:17:22.916;599619607514431616;346.15387;7168
2024-09-16T12:17:22.923;599619607522123904;353.84613;7175
2024-09-16T12:17:22.931;599619607529816192;361.53842;7178
2024-09-16T12:17:22.939;599619607537508480;369.2307;7183
2024-09-16T12:17:22.946;599619607545200896;376.92313;7207
2024-09-16T12:17:22.954;599619607552893184;384.61542;7238
2024-09-16T12:17:22.962;599619607560585472;392.3077;7253
2024-09-16T12:17:22.970;599619607568277760;400.0;7238
2024-09-16T12:17:22.977;599619607575970048;407.6923;7224
2024-09-16T12:17:22.985;599619607583662336;415.38458;7204
2024-09-16T12:17:22.993;599619607591354624;423.07687;7180
2024-09-16T12:17:23.000;599619607599047040;430.7693;7165
2024-09-16T12:17:23.008;599619607606739328;438.46158;7148
2024-09-16T12:17:23.016;599619607614431616;446.15387;7127
2024-09-16T12:17:23.023;599619607622123904;453.84613;7114
2024-09-16T12:17:23.031;599619607629816192;461.53842;7100
2024-09-16T12:17:23.039;599619607637508480;469.2307;7085
2024-09-16T12:17:23.046;599619607645200896;476.92313;7063
2024-09-16T12:17:23.054;599619607652893184;484.61542;7029
2024-09-16T12:17:23.062;599619607660585472;492.3077;7010
2024-09-16T12:17:23.070;599619607668277760;500.0;7141
2024-09-16T12:17:23.077;599619607675970048;507.6923;7628
2024-09-16T12:17:23.085;599619607683662336;515.3846;8236
2024-09-16T12:17:23.093;599619607691354624;523.07684;8017
2024-09-16T12:17:23.100;599619607699047040;530.7693;6978
2024-09-16T12:17:23.108;599619607706739328;538.46155;6574
2024-09-16T12:17:23.116;599619607714431616;546.1539;6861
2024-09-16T12:17:23.123;599619607722123844;553.84607;6762
2024-09-16T12:17:23.131;599619607729798400;561.5206;6538
2024-09-16T12:17:23.139;599619607737472896;569.1951;6625
2024-09-16T12:17:23.146;599619607745147392;576.8696;6630
2024-09-16T12:17:23.154;599619607752821888;584.5441;6513
2024-09-16T12:17:23.162;599619607760496384;592.2186;6504
2024-09-16T12:17:23.169;599619607768171008;599.89325;6504
2024-09-16T12:17:23.177;599619607775845504;607.56775;6445
2024-09-16T12:17:23.185;599619607783520000;615.24225;6414
2024-09-16T12:17:23.192;599619607791194496;622.91675;6399
2024-09-16T12:17:23.200;599619607798868992;630.59125;6365
2024-09-16T12:17:23.208;599619607806543488;638.26575;6328
2024-09-16T12:17:23.215;599619607814217984;645.94025;6287
2024-09-16T12:17:23.223;599619607821892480;653.61475;6251
2024-09-16T12:17:23.231;599619607829566976;661.28925;6229
2024-09-16T12:17:23.238;599619607837241600;668.96387;6202
2024-09-16T12:17:23.246;599619607844916096;676.6383;6178
2024-09-16T12:17:23.254;599619607852590592;684.3128;6156
2024-09-16T12:17:23.261;599619607860265088;691.9873;6124
2024-09-16T12:17:23.269;599619607867939584;699.6618;6090
2024-09-16T12:17:23.277;599619607875614080;707.3363;6068
2024-09-16T12:17:23.285;599619607883288576;715.0108;6044
2024-09-16T12:17:23.292;599619607890963072;722.6853;6015
2024-09-16T12:17:23.300;599619607898637696;730.3599;5980
2024-09-16T12:17:23.308;599619607906312192;738.0344;5939
2024-09-16T12:17:23.315;599619607913986688;745.7089;5895
2024-09-16T12:17:23.323;599619607921661184;753.3834;5844
2024-09-16T12:17:23.331;599619607929335680;761.0579;5783
2024-09-16T12:17:23.338;599619607937010176;768.7324;5703
2024-09-16T12:17:23.346;599619607944684672;776.4069;5620
2024-09-16T12:17:23.354;599619607952359168;784.0814;5540
2024-09-16T12:17:23.361;599619607960033664;791.7559;5467
2024-09-16T12:17:23.369;599619607967708288;799.43054;5399
2024-09-16T12:17:23.377;599619607975382784;807.10504;5333
2024-09-16T12:17:23.384;599619607983057280;814.77954;5270
2024-09-16T12:17:23.392;599619607990731776;822.45404;5219
2024-09-16T12:17:23.400;599619607998406272;830.12854;5170
2024-09-16T12:17:23.407;599619608006080768;837.803;5114
2024-09-16T12:17:23.415;599619608013755264;845.4775;5068
2024-09-16T12:17:23.423;599619608021429760;853.152;5027
2024-09-16T12:17:23.430;599619608029104256;860.8265;4983
2024-09-16T12:17:23.438;599619608036778880;868.5011;4937
2024-09-16T12:17:23.446;599619608044453376;876.1756;4900
2024-09-16T12:17:23.453;599619608052127872;883.8501;4861
2024-09-16T12:17:23.461;599619608059802368;891.5246;4817
2024-09-16T12:17:23.469;599619608067476864;899.1991;4783
2024-09-16T12:17:23.476;599619608075151360;906.8736;4752
2024-09-16T12:17:23.484;599619608082825856;914.5481;4705
2024-09-16T12:17:23.492;599619608090500352;922.2226;4657
2024-09-16T12:17:23.499;599619608098174848;929.8971;4611
2024-09-16T12:17:23.507;599619608105849472;937.5717;4569
2024-09-16T12:17:23.515;599619608113523968;945.2462;4533
2024-09-16T12:17:23.522;599619608121198464;952.9207;4496
2024-09-16T12:17:23.530;599619608128872960;960.5952;4460
2024-09-16T12:17:23.538;599619608136547456;968.2697;4423
2024-09-16T12:17:23.545;599619608144221952;975.9442;4387
2024-09-16T12:17:23.553;599619608151896448;983.6187;4350
2024-09-16T12:17:23.561;599619608159570944;991.2932;4319
2024-09-16T12:17:23.568;599619608167245440;998.96765;4280
2024-09-16T12:17:23.576;599619608174920064;1006.64233;4229
2024-09-16T12:17:23.584;599619608182594560;1014.3168;4173
2024-09-16T12:17:23.591;599619608190269056;1021.9913;4124
2024-09-16T12:17:23.599;599619608197943552;1029.6658;4073
2024-09-16T12:17:23.607;599619608205618048;1037.3403;4014
2024-09-16T12:17:23.615;599619608213292544;1045.0148;3961
2024-09-16T12:17:23.622;599619608220967040;1052.6893;3924
2024-09-16T12:17:23.630;599619608228641536;1060.3638;3905
2024-09-16T12:17:23.638;599619608236316160;1068.0385;3888
2024-09-16T12:17:23.645;599619608243990656;1075.7129;3854
2024-09-16T12:17:23.653;599619608251665152;1083.3875;3798
2024-09-16T12:17:23.661;599619608259339648;1091.0619;3735
2024-09-16T12:17:23.668;599619608267014144;1098.7363;3666
2024-09-16T12:17:23.676;599619608274688640;1106.4109;3623
2024-09-16T12:17:23.684;599619608282363116;1114.0853;3589
2024-09-16T12:17:23.691;599619608290037632;1121.7599;3552
2024-09-16T12:17:23.699;599619608297712128;1129.4343;3511
2024-09-16T12:17:23.707;599619608305386496;1137.1088;3472
2024-09-16T12:17:23.714;599619608313060992;1144.7832;3433
2024-09-16T12:17:23.722;599619608320735360;1152.4576;3396
2024-09-16T12:17:23.730;599619608328409856;1160.1321;3360
2024-09-16T12:17:23.737;599619608336084224;1167.8065;3321
2024-09-16T12:17:23.745;599619608343758720;1175.481;3355
2024-09-16T12:17:23.753;599619608351433216;1183.1554;3705
2024-09-16T12:17:23.760;599619608359107584;1190.8298;4418
2024-09-16T12:17:23.768;599619608366782080;1198.5043;4625
2024-09-16T12:17:23.776;599619608374456448;1206.1787;3662
2024-09-16T12:17:23.783;599619608382130944;1213.8531;2807
2024-09-16T12:17:23.791;599619608389805312;1221.5276;2997
2024-09-16T12:17:23.799;599619608397479808;1229.202;3138
2024-09-16T12:17:23.806;599619608405154304;1236.8766;2851
2024-09-16T12:17:23.814;599619608412828672;1244.5509;2825
2024-09-16T12:17:23.822;599619608420503168;1252.2255;2922
2024-09-16T12:17:23.829;599619608428177536;1259.8998;2827
2024-09-16T12:17:23.837;599619608435852032;1267.5742;2771
2024-09-16T12:17:23.845;599619608443526400;1275.2487;2793
2024-09-16T12:17:23.852;599619608451200896;1282.9231;2756
2024-09-16T12:17:23.860;599619608458875392;1290.5977;2720
2024-09-16T12:17:23.868;599619608466549760;1298.272;2715
2024-09-16T12:17:23.875;599619608474224256;1305.9465;2698
2024-09-16T12:17:23.883;599619608481898624;1313.6208;2676
2024-09-16T12:17:23.891;599619608489573120;1321.2954;2664
2024-09-16T12:17:23.898;599619608497247488;1328.9697;2649
2024-09-16T12:17:23.906;599619608504921984;1336.6442;2630
2024-09-16T12:17:23.914;599619608512596480;1344.3187;2618
2024-09-16T12:17:23.921;599619608520270848;1351.993;2603
2024-09-16T12:17:23.929;599619608527945344;1359.6676;2584
2024-09-16T12:17:23.937;599619608535619712;1367.3419;2569
2024-09-16T12:17:23.945;599619608543294208;1375.0165;2559
2024-09-16T12:17:23.952;599619608550968576;1382.6908;2550
2024-09-16T12:17:23.960;599619608558643072;1390.3654;2535
2024-09-16T12:17:23.968;599619608566317568;1398.0398;2520
2024-09-16T12:17:23.975;599619608573991936;1405.7142;2501
2024-09-16T12:17:23.983;599619608581666432;1413.3887;2474
2024-09-16T12:17:23.991;599619608589340800;1421.063;2447
2024-09-16T12:17:23.998;599619608597015296;1428.7375;2416
2024-09-16T12:17:24.006;599619608604689664;1436.4119;2377
2024-09-16T12:17:24.014;599619608612364160;1444.0864;2328
2024-09-16T12:17:24.021;599619608620038528;1451.7607;2265
2024-09-16T12:17:24.029;599619608627713024;1459.4353;2199
2024-09-16T12:17:24.037;599619608635387520;1467.1097;2141
2024-09-16T12:17:24.044;599619608643061888;1474.7842;2087
2024-09-16T12:17:24.052;599619608650736384;1482.4586;2039
2024-09-16T12:17:24.060;599619608658410752;1490.1329;1997
2024-09-16T12:17:24.067;599619608666085248;1497.8075;1966
2024-09-16T12:17:24.075;599619608673759616;1505.4818;1939
2024-09-16T12:17:24.083;599619608681434112;1513.1564;1914
2024-09-16T12:17:24.090;599619608689108608;1520.8308;1893
2024-09-16T12:17:24.098;599619608696782976;1528.5052;1878
2024-09-16T12:17:24.106;599619608704457472;1536.1797;1859
2024-09-16T12:17:24.113;599619608712131840;1543.8541;1837
2024-09-16T12:17:24.121;599619608719806336;1551.5286;1822
2024-09-16T12:17:24.129;599619608727480704;1559.203;1810
2024-09-16T12:17:24.136;599619608735155200;1566.8774;1790
2024-09-16T12:17:24.144;599619608742829696;1574.5519;1776
2024-09-16T12:17:24.152;599619608750504064;1582.2263;1764
2024-09-16T12:17:24.159;599619608758178560;1589.9008;1747
2024-09-16T12:17:24.167;599619608765852928;1597.5752;1727
2024-09-16T12:17:24.175;599619608773527424;1605.2496;1710
2024-09-16T12:17:24.182;599619608781201792;1612.9241;1691
2024-09-16T12:17:24.190;599619608788876288;1620.5985;1674
2024-09-16T12:17:24.198;599619608796550784;1628.2731;1654
2024-09-16T12:17:24.205;599619608804225152;1635.9474;1630
2024-09-16T12:17:24.213;599619608811899648;1643.622;1610
2024-09-16T12:17:24.221;599619608819574016;1651.2963;1593
2024-09-16T12:17:24.228;599619608827248512;1658.9707;1579
2024-09-16T12:17:24.236;599619608834922880;1666.6451;1559
2024-09-16T12:17:24.244;599619608842597301;1674.3195;1535
2024-09-16T12:17:24.251;599619608850271744;1681.994;1511
2024-09-16T12:17:24.259;599619608857946240;1689.6685;1496
2024-09-16T12:17:24.267;599619608865620608;1697.3429;1486
2024-09-16T12:17:24.275;599619608873295104;1705.0173;1469
2024-09-16T12:17:24.282;599619608880969472;1712.6918;1450
2024-09-16T12:17:24.290;599619608888643968;1720.3662;1433
2024-09-16T12:17:24.298;599619608896318336;1728.0405;1411
2024-09-16T12:17:24.305;599619608903992832;1735.7151;1389
2024-09-16T12:17:24.313;599619608911667328;1743.3895;1372
