Phone timestamp;RR-interval [ms]
2024-09-17T06:41:25.716;794
2024-09-17T06:41:26.510;779
2024-09-17T06:41:27.289;751
2024-09-17T06:41:28.040;746
2024-09-17T06:41:28.786;752
2024-09-17T06:41:29.538;749
2024-09-17T06:41:30.287;728
2024-09-17T06:41:31.015;713
2024-09-17T06:41:31.728;705
2024-09-17T06:41:32.433;690
2024-09-17T06:41:33.123;674
2024-09-17T06:41:33.797;660
2024-09-17T06:41:34.457;648
2024-09-17T06:41:35.105;642
2024-09-17T06:41:35.747;634
2024-09-17T06:41:36.381;648
2024-09-17T06:41:37.029;710
2024-09-17T06:41:37.739;782
2024-09-17T06:41:38.521;831
2024-09-17T06:41:39.352;856
2024-09-17T06:41:40.208;879
2024-09-17T06:41:41.087;904
2024-09-17T06:41:41.991;927
2024-09-17T06:41:42.918;843
2024-09-17T06:41:43.761;851
2024-09-17T06:41:44.612;880
2024-09-17T06:41:45.492;938
2024-09-17T06:41:46.430;950
2024-09-17T06:41:47.380;859
2024-09-17T06:41:48.239;804
2024-09-17T06:41:49.043;766
2024-09-17T06:41:49.809;513
2024-09-17T06:41:50.322;356
2024-09-17T06:41:50.678;621
2024-09-17T06:41:51.299;803
2024-09-17T06:41:52.102;813
2024-09-17T06:41:52.915;819
2024-09-17T06:41:53.734;828
2024-09-17T06:41:54.562;789
2024-09-17T06:41:55.351;791
2024-09-17T06:41:56.142;771
2024-09-17T06:41:56.913;749
2024-09-17T06:41:57.662;727
2024-09-17T06:41:58.389;712
2024-09-17T06:41:59.101;708
2024-09-17T06:41:59.809;722
2024-09-17T06:42:00.531;733
2024-09-17T06:42:01.264;763
2024-09-17T06:42:02.027;927
2024-09-17T06:42:02.954;1084
2024-09-17T06:42:04.038;913
2024-09-17T06:42:04.951;860
2024-09-17T06:42:05.811;860
2024-09-17T06:42:06.671;884
2024-09-17T06:42:07.555;807
2024-09-17T06:42:08.362;799
2024-09-17T06:42:09.161;806
2024-09-17T06:42:09.967;797
2024-09-17T06:42:10.764;857
2024-09-17T06:42:11.621;979
2024-09-17T06:42:12.600;877
2024-09-17T06:42:13.477;985
2024-09-17T06:42:14.462;1008
2024-09-17T06:42:15.470;869
2024-09-17T06:42:16.339;864
2024-09-17T06:42:17.203;896
2024-09-17T06:42:18.099;906
2024-09-17T06:42:19.005;836
2024-09-17T06:42:19.841;866
2024-09-17T06:42:20.707;1012
2024-09-17T06:42:21.719;1015
2024-09-17T06:42:22.734;891
2024-09-17T06:42:23.625;961
2024-09-17T06:42:24.586;909
2024-09-17T06:42:25.495;821
2024-09-17T06:42:26.316;831
2024-09-17T06:42:27.147;860
2024-09-17T06:42:28.007;915
2024-09-17T06:42:28.922;838
2024-09-17T06:42:29.760;837
2024-09-17T06:42:30.597;885
2024-09-17T06:42:31.482;910
2024-09-17T06:42:32.392;832
2024-09-17T06:42:33.224;849
2024-09-17T06:42:34.073;956
2024-09-17T06:42:35.029;979
2024-09-17T06:42:36.008;929
2024-09-17T06:42:36.937;848
2024-09-17T06:42:37.785;868
2024-09-17T06:42:38.653;927
2024-09-17T06:42:39.580;920
2024-09-17T06:42:40.500;857
2024-09-17T06:42:41.357;884
2024-09-17T06:42:42.241;917
2024-09-17T06:42:43.158;841
2024-09-17T06:42:43.999;880
2024-09-17T06:42:44.879;932
2024-09-17T06:42:45.811;875
2024-09-17T06:42:46.686;820
2024-09-17T06:42:47.506;832
2024-09-17T06:42:48.338;846
2024-09-17T06:42:49.184;873
2024-09-17T06:42:50.057;800
2024-09-17T06:42:50.857;809
2024-09-17T06:42:51.666;844
2024-09-17T06:42:52.510;853
2024-09-17T06:42:53.363;810
2024-09-17T06:42:54.173;779
2024-09-17T06:42:54.952;742
2024-09-17T06:42:55.694;728
2024-09-17T06:42:56.422;728
2024-09-17T06:42:57.150;732
2024-09-17T06:42:57.882;744
2024-09-17T06:42:58.626;777
2024-09-17T06:42:59.403;763
2024-09-17T06:43:00.166;758
2024-09-17T06:43:00.924;751
2024-09-17T06:43:01.675;737
2024-09-17T06:43:02.412;736
2024-09-17T06:43:03.148;727
2024-09-17T06:43:03.875;722
2024-09-17T06:43:04.597;715
2024-09-17T06:43:05.312;709
2024-09-17T06:43:06.021;702
2024-09-17T06:43:06.723;688
2024-09-17T06:43:07.411;681
2024-09-17T06:43:08.092;681
2024-09-17T06:43:08.773;671
2024-09-17T06:43:09.444;662
2024-09-17T06:43:10.106;668
2024-09-17T06:43:10.774;673
2024-09-17T06:43:11.447;668
2024-09-17T06:43:12.115;661
2024-09-17T06:43:12.776;660
2024-09-17T06:43:13.436;662
2024-09-17T06:43:14.098;672
2024-09-17T06:43:14.770;700
2024-09-17T06:43:15.470;763
2024-09-17T06:43:16.233;831
2024-09-17T06:43:17.064;851
2024-09-17T06:43:17.915;863
2024-09-17T06:43:18.778;837
2024-09-17T06:43:19.615;826
2024-09-17T06:43:20.441;823
2024-09-17T06:43:21.264;823
2024-09-17T06:43:22.087;829
2024-09-17T06:43:22.916;811
2024-09-17T06:43:23.727;839
2024-09-17T06:43:24.566;840
2024-09-17T06:43:25.406;867
2024-09-17T06:43:26.273;887
2024-09-17T06:43:27.160;826
2024-09-17T06:43:27.986;809
2024-09-17T06:43:28.795;825
2024-09-17T06:43:29.620;855
2024-09-17T06:43:30.475;885
2024-09-17T06:43:31.360;898
2024-09-17T06:43:32.258;900
2024-09-17T06:43:33.158;877
2024-09-17T06:43:34.035;805
2024-09-17T06:43:34.840;794
2024-09-17T06:43:35.634;797
2024-09-17T06:43:36.431;878
2024-09-17T06:43:37.309;816
2024-09-17T06:43:38.125;809
2024-09-17T06:43:38.934;820
2024-09-17T06:43:39.754;828
2024-09-17T06:43:40.582;904
2024-09-17T06:43:41.486;845
2024-09-17T06:43:42.331;838
2024-09-17T06:43:43.169;781
2024-09-17T06:43:43.950;767
2024-09-17T06:43:44.717;743
2024-09-17T06:43:45.460;729
2024-09-17T06:43:46.189;718
2024-09-17T06:43:46.907;712
2024-09-17T06:43:47.619;721
2024-09-17T06:43:48.340;754
2024-09-17T06:43:49.094;828
2024-09-17T06:43:49.922;892
2024-09-17T06:43:50.814;881
2024-09-17T06:43:51.695;917
2024-09-17T06:43:52.612;873
2024-09-17T06:43:53.485;819
2024-09-17T06:43:54.304;818
2024-09-17T06:43:55.122;816
2024-09-17T06:43:55.938;805
2024-09-17T06:43:56.743;778
2024-09-17T06:43:57.521;775
2024-09-17T06:43:58.296;787
2024-09-17T06:43:59.083;828
2024-09-17T06:43:59.911;874
2024-09-17T06:44:00.785;834
2024-09-17T06:44:01.619;861
2024-09-17T06:44:02.480;887
2024-09-17T06:44:03.367;813
2024-09-17T06:44:04.180;811
2024-09-17T06:44:04.991;812
2024-09-17T06:44:05.803;823
2024-09-17T06:44:06.626;795
2024-09-17T06:44:07.421;805
2024-09-17T06:44:08.226;851
2024-09-17T06:44:09.077;915
2024-09-17T06:44:09.992;837
2024-09-17T06:44:10.829;849
2024-09-17T06:44:11.678;878
2024-09-17T06:44:12.556;859
2024-09-17T06:44:13.415;809
2024-09-17T06:44:14.224;824
2024-09-17T06:44:15.048;839
2024-09-17T06:44:15.887;810
2024-09-17T06:44:16.697;802
2024-09-17T06:44:17.499;834
2024-09-17T06:44:18.333;844
2024-09-17T06:44:19.177;805
2024-09-17T06:44:19.982;799
2024-09-17T06:44:20.781;812
2024-09-17T06:44:21.593;824
2024-09-17T06:44:22.417;794
2024-09-17T06:44:23.211;811
2024-09-17T06:44:24.022;847
2024-09-17T06:44:24.869;833
2024-09-17T06:44:25.702;809
2024-09-17T06:44:26.511;805
2024-09-17T06:44:27.316;804
2024-09-17T06:44:28.120;778
2024-09-17T06:44:28.898;776
2024-09-17T06:44:29.674;774
2024-09-17T06:44:30.448;776
2024-09-17T06:44:31.224;760
2024-09-17T06:44:31.984;775
2024-09-17T06:44:32.759;809
2024-09-17T06:44:33.568;842
2024-09-17T06:44:34.410;827
2024-09-17T06:44:35.237;809
2024-09-17T06:44:36.046;822
2024-09-17T06:44:36.868;825
2024-09-17T06:44:37.693;781
2024-09-17T06:44:38.474;777
2024-09-17T06:44:39.251;789
2024-09-17T06:44:40.040;814
2024-09-17T06:44:40.854;829
2024-09-17T06:44:41.683;805
2024-09-17T06:44:42.488;856
2024-09-17T06:44:43.344;921
2024-09-17T06:44:44.265;894
2024-09-17T06:44:45.159;840
2024-09-17T06:44:45.999;844
2024-09-17T06:44:46.843;832
2024-09-17T06:44:47.675;791
2024-09-17T06:44:48.466;802
2024-09-17T06:44:49.268;819
2024-09-17T06:44:50.087;834
2024-09-17T06:44:50.921;819
2024-09-17T06:44:51.740;863
2024-09-17T06:44:52.603;934
2024-09-17T06:44:53.537;885
2024-09-17T06:44:54.422;818
2024-09-17T06:44:55.240;811
2024-09-17T06:44:56.051;814
2024-09-17T06:44:56.865;790
2024-09-17T06:44:57.655;761
2024-09-17T06:44:58.416;754
2024-09-17T06:44:59.170;739
2024-09-17T06:44:59.909;690
2024-09-17T06:45:00.599;737
2024-09-17T06:45:01.336;696
2024-09-17T06:45:02.032;682
2024-09-17T06:45:02.714;688
2024-09-17T06:45:03.402;692
2024-09-17T06:45:04.094;702
2024-09-17T06:45:04.796;717
2024-09-17T06:45:05.513;729
2024-09-17T06:45:06.242;731
2024-09-17T06:45:06.973;739
2024-09-17T06:45:07.712;749
2024-09-17T06:45:08.461;754
2024-09-17T06:45:09.215;745
2024-09-17T06:45:09.960;741
2024-09-17T06:45:10.701;744
2024-09-17T06:45:11.445;753
2024-09-17T06:45:12.198;758
2024-09-17T06:45:12.956;771
2024-09-17T06:45:13.727;769
2024-09-17T06:45:14.496;757
2024-09-17T06:45:15.253;774
2024-09-17T06:45:16.027;807
2024-09-17T06:45:16.834;781
2024-09-17T06:45:17.615;831
2024-09-17T06:45:18.446;889
2024-09-17T06:45:19.335;915
2024-09-17T06:45:20.250;823
2024-09-17T06:45:21.073;815
2024-09-17T06:45:21.888;829
2024-09-17T06:45:22.717;866
2024-09-17T06:45:23.583;820
2024-09-17T06:45:24.403;849
2024-09-17T06:45:25.252;897
2024-09-17T06:45:26.149;835
2024-09-17T06:45:26.984;819
2024-09-17T06:45:27.803;835
2024-09-17T06:45:28.638;828
2024-09-17T06:45:29.466;790
2024-09-17T06:45:30.256;800
2024-09-17T06:45:31.056;803
2024-09-17T06:45:31.859;762
2024-09-17T06:45:32.621;758
2024-09-17T06:45:33.379;761
2024-09-17T06:45:34.140;769
2024-09-17T06:45:34.909;766
2024-09-17T06:45:35.675;768
2024-09-17T06:45:36.443;841
2024-09-17T06:45:37.284;966
2024-09-17T06:45:38.250;857
2024-09-17T06:45:39.107;807
2024-09-17T06:45:39.914;834
2024-09-17T06:45:40.748;857
2024-09-17T06:45:41.605;831
2024-09-17T06:45:42.436;837
2024-09-17T06:45:43.273;892
2024-09-17T06:45:44.165;904
2024-09-17T06:45:45.069;830
2024-09-17T06:45:45.899;818
2024-09-17T06:45:46.717;840
2024-09-17T06:45:47.557;854
2024-09-17T06:45:48.411;881
2024-09-17T06:45:49.292;902
2024-09-17T06:45:50.194;821
2024-09-17T06:45:51.015;810
2024-09-17T06:45:51.825;812
2024-09-17T06:45:52.637;834
2024-09-17T06:45:53.471;800
2024-09-17T06:45:54.271;803
2024-09-17T06:45:55.074;855
2024-09-17T06:45:55.929;938
2024-09-17T06:45:56.867;853
2024-09-17T06:45:57.720;855
2024-09-17T06:45:58.575;856
2024-09-17T06:45:59.431;847
2024-09-17T06:46:00.278;795
2024-09-17T06:46:01.073;798
2024-09-17T06:46:01.871;810
2024-09-17T06:46:02.681;846
2024-09-17T06:46:03.527;808
2024-09-17T06:46:04.335;824
2024-09-17T06:46:05.159;871
2024-09-17T06:46:06.030;943
2024-09-17T06:46:06.973;836
2024-09-17T06:46:07.809;831
2024-09-17T06:46:08.640;855
2024-09-17T06:46:09.495;880
2024-09-17T06:46:10.375;805
2024-09-17T06:46:11.180;810
2024-09-17T06:46:11.990;870
2024-09-17T06:46:12.860;897
2024-09-17T06:46:13.757;824
2024-09-17T06:46:14.581;829
2024-09-17T06:46:15.410;847
2024-09-17T06:46:16.257;807
2024-09-17T06:46:17.064;799
2024-09-17T06:46:17.863;841
2024-09-17T06:46:18.704;932
2024-09-17T06:46:19.636;821
2024-09-17T06:46:20.457;792
2024-09-17T06:46:21.249;766
2024-09-17T06:46:22.015;747
2024-09-17T06:46:22.762;757
