Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2024-09-16T18:38:57.422;100
2024-09-16T18:38:58.279;103
2024-09-16T18:38:59.296;105;4,8
2024-09-16T18:39:00.258;105;5,3
2024-09-16T18:39:01.339;105;4,9
2024-09-16T18:39:02.272;104;5,9
2024-09-16T18:39:03.315;100;12,9
2024-09-16T18:39:04.316;98;13,2
2024-09-16T18:39:05.253;95;12,8
2024-09-16T18:39:06.241;94;12,4
2024-09-16T18:39:07.277;93;12,5
2024-09-16T18:39:08.270;94;13,1
2024-09-16T18:39:09.267;97;13,4
2024-09-16T18:39:10.248;98;13,7
2024-09-16T18:39:11.244;101;13,1
2024-09-16T18:39:12.272;101;12,7
2024-09-16T18:39:13.264;101;12,6
2024-09-16T18:39:14.331;102;12,1
2024-09-16T18:39:15.249;102;12,0
2024-09-16T18:39:16.276;102;12,0
2024-09-16T18:39:17.273;100;12,0
2024-09-16T18:39:18.268;100;11,9
2024-09-16T18:39:19.318;103;12,6
2024-09-16T18:39:20.239;106;10,5
2024-09-16T18:39:21.294;110;10,3
2024-09-16T18:39:22.278;112;10,0
2024-09-16T18:39:23.255;114;9,3
2024-09-16T18:39:24.245;115;8,2
2024-09-16T18:39:25.292;116;7,0
2024-09-16T18:39:26.288;117;6,1
2024-09-16T18:39:27.261;117;6,0
2024-09-16T18:39:28.655;117;6,0
2024-09-16T18:39:29.267;116;5,9
2024-09-16T18:39:30.311;116;5,8
2024-09-16T18:39:31.272;115;5,9
2024-09-16T18:39:32.256;114;6,0
2024-09-16T18:39:33.301;113;6,0
2024-09-16T18:39:34.384;113;4,0
2024-09-16T18:39:35.347;113;3,2
2024-09-16T18:39:36.258;114;2,4
2024-09-16T18:39:37.276;114;2,5
2024-09-16T18:39:38.262;114;2,4
2024-09-16T18:39:39.276;114;2,5
2024-09-16T18:39:40.273;115;2,6
2024-09-16T18:39:41.252;116;2,7
2024-09-16T18:39:42.247;116;2,7
2024-09-16T18:39:43.282;116;3,0
2024-09-16T18:39:44.287;115;3,6
2024-09-16T18:39:45.254;113;5,3
2024-09-16T18:39:46.259;109;6,4
2024-09-16T18:39:47.258;107;7,7
2024-09-16T18:39:48.273;104;7,7
2024-09-16T18:39:49.265;101;7,7
2024-09-16T18:39:50.258;102;8,6
2024-09-16T18:39:51.244;104;8,9
2024-09-16T18:39:52.320;105;8,9
2024-09-16T18:39:53.317;106;8,9
2024-09-16T18:39:54.313;106;8,9
2024-09-16T18:39:55.249;104;10,2
2024-09-16T18:39:56.236;101;11,6
2024-09-16T18:39:57.275;100;11,6
2024-09-16T18:39:58.269;99;11,6
2024-09-16T18:39:59.310;101;12,3
2024-09-16T18:40:00.240;103;12,5
2024-09-16T18:40:01.277;104;12,5
2024-09-16T18:40:02.284;104;11,6
2024-09-16T18:40:03.258;104;11,6
2024-09-16T18:40:04.265;103;10,7
2024-09-16T18:40:05.245;101;11,1
2024-09-16T18:40:06.273;101;11,3
2024-09-16T18:40:07.264;102;11,0
2024-09-16T18:40:08.254;104;11,0
