Phone timestamp;RR-interval [ms]
2024-09-17T06:37:16.732;708
2024-09-17T06:37:17.440;698
2024-09-17T06:37:18.138;699
2024-09-17T06:37:18.837;683
2024-09-17T06:37:19.520;681
2024-09-17T06:37:20.201;688
2024-09-17T06:37:20.889;698
2024-09-17T06:37:21.587;745
2024-09-17T06:37:22.332;755
2024-09-17T06:37:23.087;734
2024-09-17T06:37:23.821;718
2024-09-17T06:37:24.539;712
2024-09-17T06:37:25.251;697
2024-09-17T06:37:25.948;697
2024-09-17T06:37:26.645;688
2024-09-17T06:37:27.333;680
2024-09-17T06:37:28.013;670
2024-09-17T06:37:28.683;663
2024-09-17T06:37:29.346;661
2024-09-17T06:37:30.007;649
2024-09-17T06:37:30.656;637
2024-09-17T06:37:31.293;627
2024-09-17T06:37:31.920;616
2024-09-17T06:37:32.536;612
2024-09-17T06:37:33.148;637
2024-09-17T06:37:33.785;692
2024-09-17T06:37:34.477;761
2024-09-17T06:37:35.238;823
2024-09-17T06:37:36.061;896
2024-09-17T06:37:36.957;904
2024-09-17T06:37:37.861;875
2024-09-17T06:37:38.736;788
2024-09-17T06:37:39.524;796
2024-09-17T06:37:40.320;844
2024-09-17T06:37:41.164;803
2024-09-17T06:37:41.967;798
2024-09-17T06:37:42.765;795
2024-09-17T06:37:43.560;831
2024-09-17T06:37:44.391;891
2024-09-17T06:37:45.282;881
2024-09-17T06:37:46.163;818
2024-09-17T06:37:46.981;782
2024-09-17T06:37:47.763;776
2024-09-17T06:37:48.539;781
2024-09-17T06:37:49.320;777
2024-09-17T06:37:50.097;790
2024-09-17T06:37:50.887;768
2024-09-17T06:37:51.655;734
2024-09-17T06:37:52.389;728
2024-09-17T06:37:53.117;705
2024-09-17T06:37:53.822;685
2024-09-17T06:37:54.507;667
2024-09-17T06:37:55.174;651
2024-09-17T06:37:55.825;643
2024-09-17T06:37:56.468;642
2024-09-17T06:37:57.110;637
2024-09-17T06:37:57.747;650
2024-09-17T06:37:58.397;670
2024-09-17T06:37:59.067;665
2024-09-17T06:37:59.732;661
2024-09-17T06:38:00.393;717
2024-09-17T06:38:01.110;831
2024-09-17T06:38:01.941;932
2024-09-17T06:38:02.873;931
2024-09-17T06:38:03.804;911
2024-09-17T06:38:04.715;837
2024-09-17T06:38:05.552;763
2024-09-17T06:38:06.315;735
2024-09-17T06:38:07.050;728
2024-09-17T06:38:07.778;728
2024-09-17T06:38:08.506;790
2024-09-17T06:38:09.296;926
2024-09-17T06:38:10.222;944
2024-09-17T06:38:11.166;886
2024-09-17T06:38:12.052;816
2024-09-17T06:38:12.868;827
2024-09-17T06:38:13.695;917
2024-09-17T06:38:14.612;1085
2024-09-17T06:38:15.697;1063
2024-09-17T06:38:16.760;864
2024-09-17T06:38:17.624;834
2024-09-17T06:38:18.458;855
2024-09-17T06:38:19.313;854
2024-09-17T06:38:20.167;818
2024-09-17T06:38:20.985;855
2024-09-17T06:38:21.840;1031
2024-09-17T06:38:22.871;1041
2024-09-17T06:38:23.912;904
2024-09-17T06:38:24.816;819
2024-09-17T06:38:25.635;847
2024-09-17T06:38:26.482;893
2024-09-17T06:38:27.375;968
2024-09-17T06:38:28.343;830
2024-09-17T06:38:29.173;844
2024-09-17T06:38:30.017;899
2024-09-17T06:38:30.916;854
2024-09-17T06:38:31.770;816
2024-09-17T06:38:32.586;847
2024-09-17T06:38:33.433;962
2024-09-17T06:38:34.395;964
2024-09-17T06:38:35.359;825
2024-09-17T06:38:36.184;812
2024-09-17T06:38:36.996;846
2024-09-17T06:38:37.842;890
2024-09-17T06:38:38.732;805
2024-09-17T06:38:39.537;822
2024-09-17T06:38:40.359;867
2024-09-17T06:38:41.226;856
2024-09-17T06:38:42.082;808
2024-09-17T06:38:42.890;848
2024-09-17T06:38:43.738;902
2024-09-17T06:38:44.640;852
2024-09-17T06:38:45.492;787
2024-09-17T06:38:46.279;751
2024-09-17T06:38:47.030;743
2024-09-17T06:38:47.773;744
2024-09-17T06:38:48.517;740
2024-09-17T06:38:49.257;751
2024-09-17T06:38:50.008;792
2024-09-17T06:38:50.800;870
2024-09-17T06:38:51.670;883
2024-09-17T06:38:52.553;866
2024-09-17T06:38:53.419;804
2024-09-17T06:38:54.223;825
2024-09-17T06:38:55.048;839
2024-09-17T06:38:55.887;824
2024-09-17T06:38:56.711;807
2024-09-17T06:38:57.518;875
2024-09-17T06:38:58.393;979
2024-09-17T06:38:59.372;852
2024-09-17T06:39:00.224;872
2024-09-17T06:39:01.096;965
2024-09-17T06:39:02.061;908
2024-09-17T06:39:02.969;821
2024-09-17T06:39:03.790;827
2024-09-17T06:39:04.617;847
2024-09-17T06:39:05.464;782
2024-09-17T06:39:06.246;774
2024-09-17T06:39:07.020;793
2024-09-17T06:39:07.813;854
2024-09-17T06:39:08.667;821
2024-09-17T06:39:09.488;887
2024-09-17T06:39:10.375;905
2024-09-17T06:39:11.280;898
2024-09-17T06:39:12.178;816
2024-09-17T06:39:12.994;819
2024-09-17T06:39:13.813;835
2024-09-17T06:39:14.648;817
2024-09-17T06:39:15.465;797
2024-09-17T06:39:16.262;812
2024-09-17T06:39:17.074;859
2024-09-17T06:39:17.933;834
2024-09-17T06:39:18.767;819
2024-09-17T06:39:19.586;855
2024-09-17T06:39:20.441;882
2024-09-17T06:39:21.323;814
2024-09-17T06:39:22.137;823
2024-09-17T06:39:22.960;860
2024-09-17T06:39:23.820;884
2024-09-17T06:39:24.704;797
2024-09-17T06:39:25.501;771
2024-09-17T06:39:26.272;749
2024-09-17T06:39:27.021;731
2024-09-17T06:39:27.752;716
2024-09-17T06:39:28.468;708
2024-09-17T06:39:29.176;696
2024-09-17T06:39:29.872;692
2024-09-17T06:39:30.564;688
2024-09-17T06:39:31.252;691
2024-09-17T06:39:31.943;700
2024-09-17T06:39:32.643;695
2024-09-17T06:39:33.338;694
2024-09-17T06:39:34.032;688
2024-09-17T06:39:34.720;686
2024-09-17T06:39:35.406;679
2024-09-17T06:39:36.085;692
2024-09-17T06:39:36.777;750
2024-09-17T06:39:37.527;744
2024-09-17T06:39:38.271;769
2024-09-17T06:39:39.040;815
2024-09-17T06:39:39.855;886
2024-09-17T06:39:40.741;811
2024-09-17T06:39:41.552;800
2024-09-17T06:39:42.352;855
2024-09-17T06:39:43.207;965
2024-09-17T06:39:44.172;1048
2024-09-17T06:39:45.220;856
2024-09-17T06:39:46.076;849
2024-09-17T06:39:46.925;883
2024-09-17T06:39:47.808;894
2024-09-17T06:39:48.702;834
2024-09-17T06:39:49.536;846
2024-09-17T06:39:50.382;919
2024-09-17T06:39:51.301;952
2024-09-17T06:39:52.253;827
2024-09-17T06:39:53.080;838
2024-09-17T06:39:53.918;866
2024-09-17T06:39:54.784;946
2024-09-17T06:39:55.730;826
2024-09-17T06:39:56.556;870
2024-09-17T06:39:57.426;954
2024-09-17T06:39:58.380;974
